Time,Longitude,Latitude,UTM-x,UTM-y
2018-04-08 18:08:04.741524,10.2255531906286,47.818726943339605,591739.8823229725,5296879.909316135
2018-04-08 18:08:10.758336,10.2255979646274,47.81872405211471,591743.2389653856,5296879.641118509
2018-04-08 18:08:12.627589,10.2255952811966,47.81870966200749,591743.0634523483,5296878.038619643
2018-04-08 18:08:16.715681,10.2256156068304,47.818703779267885,591744.5952891232,5296877.40893356
2018-04-08 18:08:19.047797,10.2256156281703,47.81870513434378,591744.5944989054,5296877.559561822
2018-04-08 18:08:20.195949,10.225614435633698,47.81871115921121,591744.4946161261,5296878.227749498
2018-04-08 18:08:26.020216,10.2256173293123,47.81871728124008,591744.700435002,5296878.911584895
2018-04-08 18:08:27.192469,10.225617074090303,47.8187159310122,591744.6837094834,5296878.761217887
2018-04-08 18:08:30.816874,10.2256025723747,47.81871748848639,591743.595442195,5296878.917105873
2018-04-08 18:08:33.160959,10.2255757020852,47.8187207741424,591741.5782829289,5296879.250386247
2018-04-08 18:08:34.333028,10.2255633702676,47.81871855411339,591740.6590986939,5296878.989018619
2018-04-08 18:08:35.589200,10.2255522838301,47.81871550873088,591739.8345912413,5296878.637399318
2018-04-08 18:08:43.077769,10.225484117183198,47.8187378158544,591734.692689739,5296881.035721156
2018-04-08 18:08:44.273922,10.2254846076738,47.81874433489688,591734.717920122,5296881.760828608
2018-04-08 18:08:50.002409,10.2254687564354,47.81876519947959,591733.4946208817,5296884.060906392
2018-04-08 18:09:56.580542,10.225104316513,47.81893748651471,591705.9111275137,5296902.776489405
2018-04-08 18:09:57.776459,10.2251069696168,47.8189361667678,591706.1120486445,5296902.632960109
2018-04-08 18:09:58.876628,10.225106616558,47.81893258515221,591706.0919287336,5296902.234481043
2018-04-08 18:10:04.868824,10.2250792719121,47.81892415546281,591704.0599055651,5296901.26516983
2018-04-08 18:10:07.380966,10.225070312134903,47.8189404176189,591703.3605849725,5296903.061915498
2018-04-08 18:10:09.689228,10.2250618362178,47.81894521793299,591702.7176703284,5296903.585367673
2018-04-08 18:10:13.205673,10.2250709241626,47.81894248655,591703.4027541874,5296903.292582197
2018-04-08 18:10:14.389782,10.2250742986979,47.81893644749001,591703.665989295,5296902.625404779
2018-04-08 18:10:15.669749,10.2250858951642,47.81893950499689,591704.5286519029,5296902.978971461
2018-04-08 18:10:18.194000,10.2250973565527,47.818947027263306,591705.3733397243,5296903.828590791
2018-04-08 18:10:31.135790,10.22502848417,47.8189750987135,591700.1684960346,5296906.866752219
2018-04-08 18:10:34.963766,10.2249930818306,47.8189783506606,591697.5127470137,5296907.186181102
2018-04-08 18:10:38.504047,10.2249655811083,47.8189921502278,591695.4298944314,5296908.687244276
2018-04-08 18:10:39.616018,10.2249670494507,47.8189998774441,591695.5261983015,5296909.547787624
2018-04-08 18:10:45.476478,10.2249167183031,47.819020655856285,591691.7221001808,5296911.797401165
2018-04-08 18:10:46.600597,10.2249106840455,47.8190124363015,591691.2848840465,5296910.876724079
2018-04-08 18:10:47.760712,10.224910815222806,47.81901057018333,591691.2979894241,5296910.669479544
2018-04-08 18:10:48.992858,10.2249110721607,47.81900901929971,591691.3199534144,5296910.497419291
2018-04-08 18:10:50.177025,10.2249097317316,47.819007515526806,591691.2222645181,5296910.328700373
2018-04-08 18:10:55.021321,10.2248973269541,47.8190021996768,591690.3030734619,5296909.723185043
2018-04-08 18:10:56.181494,10.2248951172695,47.8190004177413,591690.1408067567,5296909.522520231
2018-04-08 18:10:57.413690,10.2248946837921,47.81899809209928,591690.1124544026,5296909.26353458
2018-04-08 18:10:58.597676,10.224891344010397,47.818999105899,591689.8606718013,5296909.37224708
2018-04-08 18:10:59.877728,10.2248945396389,47.81900053600248,591690.0973603143,5296909.5349786775
2018-04-08 18:11:01.146014,10.224895777156805,47.81899715960229,591690.1959396426,5296909.161193753
2018-04-08 18:11:09.758843,10.224898912187395,47.818995983321805,591690.4326818584,5296909.034180337
2018-04-08 18:11:13.515185,10.2248948121028,47.81899712337101,591690.1237649038,5296909.156022434
2018-04-08 18:11:14.699177,10.2248936741118,47.8189986194319,591690.0359467843,5296909.32094475
2018-04-08 18:11:15.979345,10.2248911211959,47.818996894158495,591689.8478879055,5296909.126170283
2018-04-08 18:11:17.259385,10.2248889119896,47.8189951468092,591689.6855960657,5296908.929349957
2018-04-08 18:11:18.527654,10.224885362951603,47.818992119866,591689.4252651886,5296908.588726682
2018-04-08 18:11:19.783539,10.2248857531759,47.8189936045382,591689.4518607861,5296908.754195758
2018-04-08 18:11:21.015932,10.224878235677,47.81898980394229,591688.8958354262,5296908.322882197
2018-04-08 18:11:22.199897,10.2248809032415,47.81898968270381,591689.0957278918,5296908.31257153
2018-04-08 18:11:23.480022,10.224873239658796,47.818987191801085,591688.5264611833,5296908.026643869
2018-04-08 18:11:27.319925,10.2248758062889,47.818989410036615,591688.7146786441,5296908.276222299
2018-04-08 18:11:45.262179,10.2248750786187,47.81900981020961,591688.624286242,5296910.542631701
2018-04-08 18:11:46.458175,10.2248776293713,47.8190135383321,591688.8086563147,5296910.959999936
2018-04-08 18:11:51.158735,10.2248776660601,47.81901872951169,591688.8022613574,5296911.536990437
2018-04-08 18:11:52.402593,10.2248787171728,47.81902612986877,591688.8679102556,5296912.360711738
2018-04-08 18:11:53.610740,10.2248776125073,47.8190260736836,591688.7853201642,5296912.353157182
2018-04-08 18:11:54.746758,10.224877697099402,47.81902696245118,591688.7900871991,5296912.452035016
2018-04-08 18:11:55.918721,10.2248769716408,47.8190326162826,591688.7258274945,5296913.079540666
2018-04-08 18:11:59.494905,10.224879134710402,47.8190380597752,591688.8781570722,5296913.687095111
2018-04-08 18:12:00.643060,10.2248777062903,47.81903989934423,591688.7679942807,5296913.889850441
